time,mass_kg,weight_n,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,max_thrust,max_torque,thrust_fx,thrust_fy,thrust_fz,drag_fx,drag_fy,drag_fz,aero_fx,aero_fy,aero_fz,total_fx,total_fy,total_fz,world_fx,world_fy,world_fz,aero_mx,aero_my,aero_mz,ctrl_mx,ctrl_my,ctrl_mz,total_mx,total_my,total_mz
0.0,0.5,4.905,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,-7.030319659762085e-10,5.132451130762661e-10,0.03270000219345093,0.2318488508462906,2.377479546566974e-09,0.8402265906333923,0.2318488508462906,2.8907245486209376e-09,0.8729265928268433,0.2318488508462906,2.8779290062175278e-09,0.8729265928268433,-1.8215960295719924e-08,0.050536610186100006,1.8669741308485754e-09,0.0,0.0,0.0,-1.8215960295719924e-08,0.050536610186100006,1.8669741308485754e-09
0.016666666666666666,0.5,4.905,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,-9.397372923558578e-05,1.578414776304271e-05,0.04887814447283745,0.5144109129905701,0.00010929009295068681,1.873916506767273,0.5143169164657593,0.0001250742352567613,1.9227946996688843,0.5143613815307617,0.00011027740401914343,1.9227827787399292,-0.0015873245429247618,0.11162456125020981,0.00019270763732492924,0.0,0.0,0.0,-0.0015873245429247618,0.11162456125020981,0.00019270763732492924
0.03333333333333333,0.5,4.905,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,-0.0003042791213374585,5.0245966122020036e-05,0.06484955549240112,0.8964428901672363,0.00046159091289155185,3.2901346683502197,0.896138608455658,0.0005118369008414447,3.3549842834472656,0.896446704864502,0.000411056011216715,3.3549020290374756,-0.006611328572034836,0.19327378273010254,0.0007982192910276353,0.0,0.0,0.0,-0.006611328572034836,0.19327378273010254,0.0007982192910276353
0.05,0.5,4.905,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,-0.0006765307043679059,0.00010963897511828691,0.0805392861366272,1.364121913909912,0.0012509291991591454,5.057305812835693,1.3634454011917114,0.001360568217933178,5.137845039367676,1.364740252494812,0.0009453214588575065,5.1375017166137695,-0.017572714015841484,0.29158473014831543,0.0021013575606048107,0.0,0.0,0.0,-0.017572714015841484,0.29158473014831543,0.0021013575606048107
0.06666666666666667,0.5,4.905,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,-0.0012551301624625921,0.00019902265921700746,0.09587901830673218,1.9003289937973022,0.002703390084207058,7.136186599731445,1.899073839187622,0.002902412787079811,7.232065677642822,1.903135061264038,0.0016310292994603515,7.2309980392456055,-0.03705988824367523,0.4017995595932007,0.004373523406684399,0.0,0.0,0.0,-0.03705988824367523,0.4017995595932007,0.004373523406684399
0.08333333333333333,0.5,4.905,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,-0.0020803490187972784,0.00032135724904946983,0.11080855131149292,2.4857094287872314,0.0050452714785933495,9.481871604919434,2.483628988265991,0.005366628523916006,9.592679977416992,2.4938738346099854,0.0022487014066427946,9.590023040771484,-0.06730607897043228,0.518595278263092,0.007824055850505829,0.0,0.0,0.0,-0.06730607897043228,0.518595278263092,0.007824055850505829
0.09999999999999999,0.5,4.905,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,-0.003189399605616927,0.0004779679293278605,0.12527690827846527,3.0996053218841553,0.008485137484967709,12.045780181884766,3.0964159965515137,0.008963105268776417,12.171056747436523,3.1186985969543457,0.0023960538674145937,12.165369033813477,-0.10982485115528107,0.6363898515701294,0.012549644336104393,0.0,0.0,0.0,-0.10982485115528107,0.6363898515701294,0.012549644336104393
0.11666666666666665,0.5,4.905,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.040404342114925385,-5.387815326685086e-05,0.11338235437870026,8.52962589263916,-0.0009186755632981658,14.57746696472168,8.570030212402344,-0.0009725537383928895,14.690849304199219,8.501632690429688,-0.016922738403081894,14.7305269241333,0.0133432075381279,3.070011615753174,-0.0026664482429623604,0.0,0.0,0.0,0.0133432075381279,3.070011615753174,-0.0026664482429623604
0.13333333333333333,0.5,4.905,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,-0.005442902911454439,-0.022241098806262016,-0.003163340035825968,-0.006876412779092789,-0.09801314026117325,-0.10225869715213776,-0.01231931522488594,-0.12025424093008041,-0.10542203485965729,-0.009778534062206745,-0.12025302648544312,-0.10568936914205551,0.5518633127212524,-0.023946020752191544,-0.017821520566940308,0.0,0.0,0.0,0.5518633127212524,-0.023946020752191544,-0.017821520566940308
0.15,0.5,4.905,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,-0.004456430673599243,-0.004688553977757692,-0.0023965814616531134,0.0,0.0,0.0,-0.004456430673599243,-0.004688553977757692,-0.0023965814616531134,-0.004399001132696867,-0.00469094468280673,-0.002495944732800126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
